DAS Channel,Lat [decimal],Lon [decimal],Elevation [m],OD [m]
381,61.304347,-45.743042,-140.2,1823.47
382,61.304339,-45.743098,-140.2,1828.25
383,61.304325,-45.743208,-140.6,1833.04
384,61.304311,-45.743318,-141.0,1837.82
385,61.304298,-45.743428,-141.5,1842.61
386,61.304284,-45.743538,-141.9,1847.4
387,61.304269,-45.743647,-142.6,1852.18
388,61.304253,-45.743756,-143.5,1856.97
389,61.304237,-45.743865,-144.4,1861.75
390,61.304221,-45.743973,-145.4,1866.54
391,61.304206,-45.744082,-146.4,1871.33
392,61.304191,-45.744192,-148.7,1876.11
393,61.304176,-45.744301,-150.9,1880.9
394,61.304161,-45.74441,-153.2,1885.68
395,61.304146,-45.744519,-155.5,1890.47
396,61.304131,-45.744629,-157.7,1895.26
397,61.304117,-45.744739,-159.0,1900.04
398,61.304105,-45.74485,-159.4,1904.83
399,61.304092,-45.74496,-159.8,1909.61
400,61.30408,-45.745071,-160.3,1914.4
401,61.304067,-45.745182,-160.7,1919.19
402,61.304056,-45.745283,-161.0,1923.97
403,61.30405,-45.745349,-161.0,1928.76
404,61.304044,-45.745415,-160.9,1933.54
405,61.304038,-45.745481,-160.9,1938.33
406,61.304032,-45.745546,-160.9,1943.12
407,61.304025,-45.745612,-160.8,1947.9
408,61.304019,-45.745678,-160.8,1952.69
409,61.304013,-45.745744,-160.7,1957.47
410,61.304008,-45.74581,-160.7,1962.26
411,61.304006,-45.745877,-160.6,1967.05
412,61.304004,-45.745944,-160.6,1971.83
413,61.304002,-45.74601,-160.6,1976.62
414,61.304,-45.746077,-160.5,1981.4
415,61.303998,-45.746144,-160.5,1986.19
416,61.303996,-45.746211,-160.4,1990.98
417,61.303994,-45.746278,-160.4,1995.76
418,61.303992,-45.746345,-160.4,2000.55
419,61.303989,-45.746412,-161.6,2005.33
420,61.303987,-45.746479,-162.8,2010.12
421,61.303984,-45.746545,-164.0,2014.91
422,61.303982,-45.746612,-165.2,2019.69
423,61.303979,-45.746679,-166.4,2024.48
424,61.303976,-45.746746,-167.6,2029.26
425,61.303974,-45.746813,-168.8,2034.05
426,61.303971,-45.746879,-169.9,2038.84
427,61.30397,-45.746962,-172.0,2043.62
428,61.303968,-45.747049,-174.3,2048.41
429,61.303967,-45.747137,-176.6,2053.19
430,61.303966,-45.747225,-178.8,2057.98
431,61.303964,-45.747312,-181.1,2062.77
432,61.303962,-45.7474,-183.2,2067.55
433,61.303958,-45.747487,-183.8,2072.34
434,61.303954,-45.747574,-184.5,2077.12
435,61.30395,-45.747661,-185.2,2081.91
436,61.303945,-45.747748,-185.9,2086.7
437,61.303941,-45.747835,-186.6,2091.48
438,61.303937,-45.747922,-187.3,2096.27
439,61.30393,-45.748009,-187.3,2101.05
440,61.303922,-45.748095,-186.7,2105.84
441,61.303914,-45.748181,-186.2,2110.63
442,61.303906,-45.748266,-185.6,2115.41
443,61.303898,-45.748352,-185.1,2120.2
444,61.30389,-45.748438,-184.5,2124.98
445,61.303881,-45.748524,-183.9,2129.77
446,61.303872,-45.748609,-183.2,2134.56
447,61.303863,-45.748695,-182.5,2139.34
448,61.303854,-45.74878,-181.8,2144.13
449,61.303844,-45.748866,-181.1,2148.91
450,61.303835,-45.748951,-180.4,2153.7
451,61.303826,-45.749037,-179.7,2158.49
452,61.303816,-45.749122,-179.5,2163.27
453,61.303806,-45.749208,-179.6,2168.06
454,61.303796,-45.749293,-179.7,2172.84
455,61.303785,-45.749378,-179.7,2177.63
456,61.303775,-45.749464,-179.8,2182.42
457,61.303765,-45.749549,-179.8,2187.2
458,61.303754,-45.749634,-179.9,2191.99
459,61.303745,-45.74972,-179.9,2196.77
460,61.303736,-45.749806,-180.0,2201.56
461,61.303727,-45.749892,-180.0,2206.35
462,61.303718,-45.749978,-180.0,2211.13
463,61.303709,-45.750064,-180.0,2215.92
464,61.3037,-45.75015,-180.0,2220.7
465,61.303691,-45.750236,-180.0,2225.49
466,61.303681,-45.750322,-180.0,2230.28
467,61.303672,-45.750408,-180.0,2235.06
468,61.303663,-45.750493,-179.9,2239.85
469,61.303654,-45.750579,-179.9,2244.63
470,61.303645,-45.750665,-179.9,2249.42
471,61.303635,-45.750751,-179.9,2254.21
472,61.303627,-45.750851,-179.9,2258.99
473,61.303618,-45.75096,-179.9,2263.78
474,61.30361,-45.751069,-180.0,2268.56
475,61.303601,-45.751178,-180.0,2273.35
476,61.303593,-45.751287,-180.0,2278.14
477,61.303584,-45.751396,-180.1,2282.92
478,61.303576,-45.751505,-180.6,2287.71
479,61.303568,-45.751614,-181.1,2292.49
480,61.30356,-45.751723,-181.7,2297.28
481,61.303552,-45.751832,-182.2,2302.07
482,61.303544,-45.751942,-182.8,2306.85
483,61.303536,-45.752051,-183.3,2311.64
484,61.303529,-45.752121,-183.3,2316.42
485,61.303523,-45.752177,-183.0,2321.21
486,61.303517,-45.752232,-182.8,2326.0
487,61.30351,-45.752287,-182.6,2330.78
488,61.303504,-45.752342,-182.3,2335.57
489,61.303498,-45.752398,-182.1,2340.35
490,61.303491,-45.752453,-181.8,2345.14
491,61.303485,-45.752508,-181.6,2349.93
492,61.303478,-45.752564,-181.4,2354.71
493,61.303472,-45.752619,-181.1,2359.5
